sname,dname,cname,enroll12,NumTstTakr,AvgScrEng,AvgScrRead,AvgScrMath,AvgScrSci,NumGE21,PctGE21,year
City Arts and Tech High,San Francisco Unified,San Francisco,63,4,*,*,*,*,*,*,2017-18
Five Keys Adult School (SF Sheriff's),San Francisco Unified,San Francisco,15,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Five Keys Independence HS (SF Sheriff's),San Francisco Unified,San Francisco,148,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
S.F. International High,San Francisco Unified,San Francisco,91,48,12,13,17,15,2,4.17,2017-18
Academy (The)- SF @McAteer,San Francisco Unified,San Francisco,82,11,*,*,*,*,*,*,2017-18
KIPP San Francisco College Preparatory,San Francisco Unified,San Francisco,93,90,19,18,19,19,28,31.11,2017-18
Downtown High,San Francisco Unified,San Francisco,27,1,*,*,*,*,*,*,2017-18
Independence High,San Francisco Unified,San Francisco,37,3,*,*,*,*,*,*,2017-18
Wallenberg (Raoul) Traditional High,San Francisco Unified,San Francisco,157,33,22,21,23,22,21,63.64,2017-18
Burton (Phillip and Sala) Academic High,San Francisco Unified,San Francisco,264,52,19,20,20,20,19,36.54,2017-18
Balboa High,San Francisco Unified,San Francisco,308,77,19,20,21,20,36,46.75,2017-18
"Asawa (Ruth) SF Sch of the Arts, A Public School",San Francisco Unified,San Francisco,169,45,26,26,23,23,34,75.56,2017-18
Marshall (Thurgood) High,San Francisco Unified,San Francisco,115,25,16,17,19,19,6,24.00,2017-18
Leadership High,San Francisco Unified,San Francisco,60,9,*,*,*,*,*,*,2017-18
Gateway High,San Francisco Unified,San Francisco,116,32,21,21,21,21,15,46.88,2017-18
Galileo High,San Francisco Unified,San Francisco,496,162,21,21,23,22,90,55.56,2017-18
Lincoln (Abraham) High,San Francisco Unified,San Francisco,511,120,21,23,23,22,73,60.83,2017-18
Lowell High,San Francisco Unified,San Francisco,697,239,28,29,28,27,226,94.56,2017-18
Mission High,San Francisco Unified,San Francisco,302,114,17,17,18,18,20,17.54,2017-18
O'Connell (John) High,San Francisco Unified,San Francisco,118,48,16,17,17,17,10,20.83,2017-18
Washington (George) High,San Francisco Unified,San Francisco,525,157,21,21,22,21,100,63.69,2017-18
       ,     ,San Joaquin,11864,1657,21,22,21,21,868,52.38,2017-18
,San Joaquin County Office of Education,San Joaquin,1111,35,17,20,18,17,8,22.86,2017-18
Venture Academy,San Joaquin County Office of Education,San Joaquin,248,34,17,20,18,17,8,23.53,2017-18
,Escalon Unified,San Joaquin,207,24,20,22,22,21,16,66.67,2017-18
Escalon High,Escalon Unified,San Joaquin,190,24,20,22,22,21,16,66.67,2017-18
,Lincoln Unified,San Joaquin,741,79,23,24,24,23,55,69.62,2017-18
Lincoln High,Lincoln Unified,San Joaquin,681,79,23,24,24,23,55,69.62,2017-18
,Linden Unified,San Joaquin,153,38,22,23,21,21,22,57.89,2017-18
Linden High,Linden Unified,San Joaquin,139,38,22,23,21,21,22,57.89,2017-18
,Lodi Unified,San Joaquin,2304,513,21,22,23,22,299,58.28,2017-18
Aspire Benjamin Holt College Preparatory Academy,Lodi Unified,San Joaquin,72,76,20,20,21,20,33,43.42,2017-18
Ronald E. McNair High,Lodi Unified,San Joaquin,409,72,20,21,21,20,33,45.83,2017-18
Rio Valley Charter,Lodi Unified,San Joaquin,110,1,*,*,*,*,*,*,2017-18
Bear Creek High,Lodi Unified,San Joaquin,459,92,22,23,23,22,53,57.61,2017-18
Independence,Lodi Unified,San Joaquin,54,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Middle College High,Lodi Unified,San Joaquin,57,37,25,26,25,24,29,78.38,2017-18
Tokay High,Lodi Unified,San Joaquin,487,106,20,22,22,21,57,53.77,2017-18
Lodi High,Lodi Unified,San Joaquin,463,129,23,23,24,23,94,72.87,2017-18
,Manteca Unified,San Joaquin,1912,171,20,22,21,21,86,50.29,2017-18
Weston Ranch High,Manteca Unified,San Joaquin,283,25,21,21,21,20,15,60.00,2017-18
Lathrop High,Manteca Unified,San Joaquin,298,30,22,23,22,21,18,60.00,2017-18
be.tech,Manteca Unified,San Joaquin,60,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Sierra High,Manteca Unified,San Joaquin,338,34,20,23,20,22,16,47.06,2017-18
East Union High,Manteca Unified,San Joaquin,384,50,20,21,21,21,20,40.00,2017-18
Manteca High,Manteca Unified,San Joaquin,352,32,20,21,21,21,17,53.13,2017-18
,New Jerusalem Elementary,San Joaquin,578,18,25,25,21,22,12,66.67,2017-18
"Humphreys College Academy of Business, Law and Edu",New Jerusalem Elementary,San Joaquin,66,5,*,*,*,*,*,*,2017-18
California Virtual Academy @ San Joaquin,New Jerusalem Elementary,San Joaquin,125,3,*,*,*,*,*,*,2017-18
Delta Keys Charter,New Jerusalem Elementary,San Joaquin,103,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Valley View Charter Prep,New Jerusalem Elementary,San Joaquin,22,4,*,*,*,*,*,*,2017-18
Delta Charter Online,New Jerusalem Elementary,San Joaquin,45,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Insight @ San Joaquin,New Jerusalem Elementary,San Joaquin,129,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Delta Charter,New Jerusalem Elementary,San Joaquin,77,6,*,*,*,*,*,*,2017-18
,Ripon Unified,San Joaquin,412,71,22,23,21,22,49,69.01,2017-18
California Connections Academy @ Ripon,Ripon Unified,San Joaquin,182,7,*,*,*,*,*,*,2017-18
Ripon High,Ripon Unified,San Joaquin,205,64,22,23,21,21,42,65.63,2017-18
,Stockton Unified,San Joaquin,2559,398,18,20,20,19,147,36.93,2017-18
Cesar Chavez High,Stockton Unified,San Joaquin,505,24,17,19,18,19,4,16.67,2017-18
Edward C. Merlo Institute of Environmental Studies,Stockton Unified,San Joaquin,49,3,*,*,*,*,*,*,2017-18
Aspire Langston Hughes Academy,Stockton Unified,San Joaquin,75,87,15,16,17,17,16,18.39,2017-18
Stockton Unified Early College Academy,Stockton Unified,San Joaquin,94,79,22,23,23,21,56,70.89,2017-18
Stockton High,Stockton Unified,San Joaquin,158,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Stockton Collegiate International Secondary,Stockton Unified,San Joaquin,42,21,21,22,21,22,11,52.38,2017-18
Health Careers Academy,Stockton Unified,San Joaquin,79,44,17,19,18,19,9,20.45,2017-18
Pacific Law Academy,Stockton Unified,San Joaquin,41,15,19,20,19,20,4,26.67,2017-18
Weber Institute,Stockton Unified,San Joaquin,90,6,*,*,*,*,*,*,2017-18
Edison High,Stockton Unified,San Joaquin,458,36,17,20,20,18,14,38.89,2017-18
Franklin High,Stockton Unified,San Joaquin,451,51,18,20,20,20,20,39.22,2017-18
Stagg Senior High,Stockton Unified,San Joaquin,360,32,18,20,20,19,11,34.38,2017-18
,Tracy Joint Unified,San Joaquin,1625,286,22,22,22,22,156,54.55,2017-18
Millennium Charter,Tracy Joint Unified,San Joaquin,120,16,23,24,22,20,9,56.25,2017-18
John C. Kimball High,Tracy Joint Unified,San Joaquin,340,64,21,22,21,21,32,50.00,2017-18
Merrill F. West High,Tracy Joint Unified,San Joaquin,523,72,18,19,19,18,21,29.17,2017-18
Tracy High,Tracy Joint Unified,San Joaquin,531,134,24,24,23,24,94,70.15,2017-18
,Lammersville Joint Unified,San Joaquin,262,24,25,25,24,24,18,75.00,2017-18
Mountain House High,Lammersville Joint Unified,San Joaquin,261,24,25,25,24,24,18,75.00,2017-18
       ,     ,San Luis Obispo,2874,645,25,25,24,24,499,77.36,2017-18
Grizzly ChalleNGe Charter,San Luis Obispo County Office of Education,San Luis Obispo,141,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
,Atascadero Unified,San Luis Obispo,362,56,25,26,24,23,41,73.21,2017-18
West Mall Alternative,Atascadero Unified,San Luis Obispo,27,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Atascadero High,Atascadero Unified,San Luis Obispo,284,56,25,26,24,23,41,73.21,2017-18
,Lucia Mar Unified,San Luis Obispo,862,231,24,25,23,23,169,73.16,2017-18
Central Coast New Tech High,Lucia Mar Unified,San Luis Obispo,76,20,25,27,23,26,17,85.00,2017-18
Nipomo High,Lucia Mar Unified,San Luis Obispo,190,31,23,24,22,23,20,64.52,2017-18
Arroyo Grande High,Lucia Mar Unified,San Luis Obispo,522,180,24,24,24,23,132,73.33,2017-18
,San Luis Coastal Unified,San Luis Obispo,591,192,26,26,25,25,159,82.81,2017-18
Morro Bay High,San Luis Coastal Unified,San Luis Obispo,206,42,24,25,23,23,32,76.19,2017-18
San Luis Obispo High,San Luis Coastal Unified,San Luis Obispo,344,150,26,26,25,25,127,84.67,2017-18
,Shandon Joint Unified,San Luis Obispo,19,1,*,*,*,*,*,*,2017-18
Shandon High,Shandon Joint Unified,San Luis Obispo,19,1,*,*,*,*,*,*,2017-18
,Templeton Unified,San Luis Obispo,218,72,26,26,24,24,63,87.50,2017-18
Templeton Independent Study High,Templeton Unified,San Luis Obispo,20,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Templeton High,Templeton Unified,San Luis Obispo,196,72,26,26,24,24,63,87.50,2017-18
,Paso Robles Joint Unified,San Luis Obispo,573,81,23,24,22,22,55,67.90,2017-18
Independence High,Paso Robles Joint Unified,San Luis Obispo,32,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Paso Robles High,Paso Robles Joint Unified,San Luis Obispo,468,81,23,24,22,22,55,67.90,2017-18
,Coast Unified,San Luis Obispo,67,12,*,*,*,*,*,*,2017-18
Coast Union High,Coast Unified,San Luis Obispo,54,12,*,*,*,*,*,*,2017-18
       ,     ,San Mateo,7357,1772,25,25,25,24,1302,73.48,2017-18
,Cabrillo Unified,San Mateo,274,90,25,26,24,24,73,81.11,2017-18
Half Moon Bay High,Cabrillo Unified,San Mateo,252,90,25,26,24,24,73,81.11,2017-18
,Jefferson Elementary,San Mateo,92,3,*,*,*,*,*,*,2017-18
California Virtual Academy San Mateo,Jefferson Elementary,San Mateo,92,3,*,*,*,*,*,*,2017-18
,Jefferson Union High,San Mateo,1292,180,24,24,23,24,130,72.22,2017-18
Summit Public School: Shasta,Jefferson Union High,San Mateo,106,55,24,24,23,24,36,65.45,2017-18
Jefferson High,Jefferson Union High,San Mateo,269,33,20,21,20,21,17,51.52,2017-18
Oceana High,Jefferson Union High,San Mateo,157,20,25,25,24,23,16,80.00,2017-18
Terra Nova High,Jefferson Union High,San Mateo,241,35,25,26,24,25,29,82.86,2017-18
Westmoor High,Jefferson Union High,San Mateo,426,37,27,26,26,25,32,86.49,2017-18
Pescadero High,La Honda-Pescadero Unified,San Mateo,26,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Aspire East Palo Alto Charter,Ravenswood City Elementary,San Mateo,37,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
,San Mateo Union High,San Mateo,2406,628,27,27,27,26,547,87.10,2017-18
Design Tech High,San Mateo Union High,San Mateo,128,49,26,26,24,24,40,81.63,2017-18
Aragon High,San Mateo Union High,San Mateo,376,116,28,28,28,28,104,89.66,2017-18
Burlingame High,San Mateo Union High,San Mateo,383,143,28,27,27,26,129,90.21,2017-18
Capuchino High,San Mateo Union High,San Mateo,300,51,23,23,24,23,35,68.63,2017-18
Hillsdale High,San Mateo Union High,San Mateo,362,77,26,25,26,25,66,85.71,2017-18
Mills High,San Mateo Union High,San Mateo,336,109,28,27,28,28,99,90.83,2017-18
San Mateo High,San Mateo Union High,San Mateo,415,83,28,28,27,27,74,89.16,2017-18
,Sequoia Union High,San Mateo,2461,813,24,24,23,23,513,63.10,2017-18
Summit Preparatory Charter High,Sequoia Union High,San Mateo,101,79,19,21,19,20,31,39.24,2017-18
Everest Public High,Sequoia Union High,San Mateo,97,73,20,20,19,20,26,35.62,2017-18
East Palo Alto Academy,Sequoia Union High,San Mateo,75,9,*,*,*,*,*,*,2017-18
Carlmont High,Sequoia Union High,San Mateo,554,188,27,28,27,26,168,89.36,2017-18
Menlo-Atherton High,Sequoia Union High,San Mateo,549,126,28,28,27,26,101,80.16,2017-18
Sequoia High,Sequoia Union High,San Mateo,496,179,23,24,23,23,112,62.57,2017-18
Woodside High,Sequoia Union High,San Mateo,406,117,24,24,23,22,69,58.97,2017-18
,South San Francisco Unified,San Mateo,720,58,23,23,22,22,36,62.07,2017-18
El Camino High,South San Francisco Unified,San Mateo,312,32,23,23,23,24,21,65.63,2017-18
South San Francisco High,South San Francisco Unified,San Mateo,342,26,22,23,21,21,15,57.69,2017-18
       ,     ,Santa Barbara,5439,990,23,23,23,22,633,63.94,2017-18
,Blochman Union Elementary,Santa Barbara,71,3,*,*,*,*,*,*,2017-18
Family Partnership Home Study Charter,Blochman Union Elementary,Santa Barbara,56,1,*,*,*,*,*,*,2017-18
Trivium Charter,Blochman Union Elementary,Santa Barbara,15,2,*,*,*,*,*,*,2017-18
,Carpinteria Unified,Santa Barbara,173,47,20,20,21,21,25,53.19,2017-18
Carpinteria Senior High,Carpinteria Unified,Santa Barbara,150,47,20,20,21,21,25,53.19,2017-18
,Lompoc Unified,Santa Barbara,657,86,22,23,23,22,54,62.79,2017-18
Cabrillo High,Lompoc Unified,Santa Barbara,331,68,22,23,23,22,45,66.18,2017-18
Lompoc High,Lompoc Unified,Santa Barbara,294,18,21,24,22,22,9,50.00,2017-18
,Los Olivos Elementary,Santa Barbara,0,1,*,*,*,*,*,*,2017-18
,Orcutt Union Elementary,Santa Barbara,138,42,25,25,24,25,35,83.33,2017-18
Orcutt Academy Charter,Orcutt Union Elementary,Santa Barbara,138,42,25,25,24,25,35,83.33,2017-18
,Santa Maria Joint Union High,Santa Barbara,2010,305,19,20,21,20,129,42.30,2017-18
Pioneer Valley High,Santa Maria Joint Union High,Santa Barbara,633,102,19,20,21,20,50,49.02,2017-18
Ernest Righetti High,Santa Maria Joint Union High,Santa Barbara,484,67,21,23,22,22,37,55.22,2017-18
Santa Maria High,Santa Maria Joint Union High,Santa Barbara,616,136,17,19,20,19,42,30.88,2017-18
,Santa Ynez Valley Union High,Santa Barbara,239,45,25,24,23,23,34,75.56,2017-18
Santa Ynez Valley Union High,Santa Ynez Valley Union High,Santa Barbara,234,45,25,24,23,23,34,75.56,2017-18
Uplift California Santa Barbara,Cuyama Joint Unified,Santa Barbara,96,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
,Santa Barbara Unified,Santa Barbara,1860,461,25,25,24,24,352,76.36,2017-18
Alta Vista Alternative High,Santa Barbara Unified,Santa Barbara,79,3,*,*,*,*,*,*,2017-18
Dos Pueblos Senior High,Santa Barbara Unified,Santa Barbara,576,195,25,25,25,24,151,77.44,2017-18
San Marcos Senior High,Santa Barbara Unified,Santa Barbara,586,116,26,26,24,25,94,81.03,2017-18
Santa Barbara Senior High,Santa Barbara Unified,Santa Barbara,563,147,24,25,23,23,105,71.43,2017-18
Olive Grove Charter,SBE - Olive Grove Charter,Santa Barbara,122,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
       ,     ,Santa Clara,21219,5254,26,26,26,25,4049,77.07,2017-18
,Santa Clara County Office of Education,Santa Clara,570,111,20,21,20,20,51,45.95,2017-18
University Preparatory Academy Charter,Santa Clara County Office of Education,Santa Clara,93,29,27,27,26,25,26,89.66,2017-18
Downtown College Prep - Alum Rock,Santa Clara County Office of Education,Santa Clara,68,51,16,16,17,16,8,15.69,2017-18
Summit Public School: Tahoma,Santa Clara County Office of Education,Santa Clara,59,31,22,23,20,21,17,54.84,2017-18
Opportunity Youth Academy,Santa Clara County Office of Education,Santa Clara,203,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
,Campbell Union High,Santa Clara,1912,485,26,26,25,25,386,79.59,2017-18
Leigh High,Campbell Union High,Santa Clara,421,155,27,27,26,26,138,89.03,2017-18
Branham High,Campbell Union High,Santa Clara,375,72,27,27,26,26,61,84.72,2017-18
Del Mar High,Campbell Union High,Santa Clara,272,73,20,21,20,21,33,45.21,2017-18
Prospect High,Campbell Union High,Santa Clara,332,88,27,27,27,26,72,81.82,2017-18
Westmont High,Campbell Union High,Santa Clara,359,97,26,27,26,26,82,84.54,2017-18
,East Side Union High,Santa Clara,6909,1106,22,23,23,22,630,56.96,2017-18
"Escuela Popular/Center for Training and Careers, F",East Side Union High,Santa Clara,65,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
KIPP San Jose Collegiate,East Side Union High,Santa Clara,108,111,21,21,21,21,50,45.05,2017-18
Summit Public School: Rainier,East Side Union High,Santa Clara,83,57,20,21,21,21,26,45.61,2017-18
Calero High,East Side Union High,Santa Clara,63,4,*,*,*,*,*,*,2017-18
ACE Charter High,East Side Union High,Santa Clara,63,43,16,16,17,16,4,9.30,2017-18
Luis Valdez Leadership Academy,East Side Union High,Santa Clara,95,38,17,17,17,17,6,15.79,2017-18
Yerba Buena High,East Side Union High,Santa Clara,459,13,*,*,*,*,*,*,2017-18
Santa Teresa High,East Side Union High,Santa Clara,561,103,25,25,26,25,82,79.61,2017-18
Independence High,East Side Union High,Santa Clara,754,135,21,21,21,21,65,48.15,2017-18
Latino College Preparatory Academy,East Side Union High,Santa Clara,120,26,16,19,18,17,4,15.38,2017-18
San Jose Conservation Corps Charter,East Side Union High,Santa Clara,261,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Evergreen Valley High,East Side Union High,Santa Clara,722,171,29,28,28,27,153,89.47,2017-18
Andrew P. Hill High,East Side Union High,Santa Clara,462,40,24,24,25,24,29,72.50,2017-18
James Lick High,East Side Union High,Santa Clara,248,35,17,18,19,19,9,25.71,2017-18
Mt. Pleasant High,East Side Union High,Santa Clara,325,29,21,22,22,21,17,58.62,2017-18
Oak Grove High,East Side Union High,Santa Clara,436,38,23,23,23,23,26,68.42,2017-18
William C. Overfelt High,East Side Union High,Santa Clara,372,113,17,18,18,18,25,22.12,2017-18
Piedmont Hills High,East Side Union High,Santa Clara,565,79,27,26,27,26,69,87.34,2017-18
Silver Creek High,East Side Union High,Santa Clara,650,71,25,24,27,23,56,78.87,2017-18
,Fremont Union High,Santa Clara,2745,1108,30,29,30,29,1022,92.24,2017-18
Cupertino High,Fremont Union High,Santa Clara,557,236,30,28,30,28,217,91.95,2017-18
Fremont High,Fremont Union High,Santa Clara,512,120,26,26,26,25,92,76.67,2017-18
Homestead High,Fremont Union High,Santa Clara,608,234,29,29,29,28,213,91.03,2017-18
Lynbrook High,Fremont Union High,Santa Clara,461,212,32,31,32,31,205,96.70,2017-18
Monta Vista High,Fremont Union High,Santa Clara,598,306,31,30,31,30,295,96.41,2017-18
,Gilroy Unified,Santa Clara,919,164,22,23,22,22,103,62.80,2017-18
Dr. TJ Owens Gilroy Early College Academy,Gilroy Unified,Santa Clara,59,17,28,28,26,25,16,94.12,2017-18
Christopher High,Gilroy Unified,Santa Clara,423,96,22,23,23,22,62,64.58,2017-18
Gilroy High,Gilroy Unified,Santa Clara,308,51,20,22,21,21,25,49.02,2017-18
,Los Gatos-Saratoga Joint Union High,Santa Clara,797,340,29,29,29,28,317,93.24,2017-18
Los Gatos High,Los Gatos-Saratoga Joint Union High,Santa Clara,468,190,28,28,28,27,174,91.58,2017-18
Saratoga High,Los Gatos-Saratoga Joint Union High,Santa Clara,329,150,31,30,31,30,143,95.33,2017-18
,Morgan Hill Unified,Santa Clara,692,152,24,25,24,23,118,77.63,2017-18
Ann Sobrato High,Morgan Hill Unified,Santa Clara,361,114,24,25,24,23,89,78.07,2017-18
Live Oak High,Morgan Hill Unified,Santa Clara,246,38,24,25,23,24,29,76.32,2017-18
,Mountain View-Los Altos Union High,Santa Clara,1040,379,29,29,28,27,328,86.54,2017-18
Los Altos High,Mountain View-Los Altos Union High,Santa Clara,532,202,29,29,28,28,171,84.65,2017-18
Mountain View High,Mountain View-Los Altos Union High,Santa Clara,460,177,29,29,28,27,157,88.70,2017-18
,Palo Alto Unified,Santa Clara,970,526,29,28,28,28,450,85.55,2017-18
Henry M. Gunn High,Palo Alto Unified,Santa Clara,477,279,29,28,28,28,238,85.30,2017-18
Palo Alto High,Palo Alto Unified,Santa Clara,486,247,28,28,28,27,212,85.83,2017-18
,San Jose Unified,Santa Clara,2655,499,25,25,25,24,361,72.34,2017-18
Gunderson High,San Jose Unified,Santa Clara,275,24,19,20,19,20,11,45.83,2017-18
Liberty High (Alternative),San Jose Unified,Santa Clara,177,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Downtown College Preparatory,San Jose Unified,Santa Clara,71,73,15,17,16,16,9,12.33,2017-18
Middle College High,San Jose Unified,Santa Clara,29,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Leland High,San Jose Unified,Santa Clara,473,204,30,29,29,28,195,95.59,2017-18
Abraham Lincoln High,San Jose Unified,Santa Clara,451,41,24,24,23,23,31,75.61,2017-18
Pioneer High,San Jose Unified,Santa Clara,387,86,25,25,24,24,63,73.26,2017-18
San Jose High,San Jose Unified,Santa Clara,247,8,*,*,*,*,*,*,2017-18
Willow Glen High,San Jose Unified,Santa Clara,389,63,26,26,25,24,48,76.19,2017-18
,Santa Clara Unified,Santa Clara,1118,267,24,25,24,24,182,68.16,2017-18
Mission Early College High,Santa Clara Unified,Santa Clara,25,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Santa Clara High,Santa Clara Unified,Santa Clara,487,102,23,24,22,22,64,62.75,2017-18
Wilson Alternative,Santa Clara Unified,Santa Clara,57,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Adrian Wilcox High,Santa Clara Unified,Santa Clara,465,165,25,26,24,25,118,71.52,2017-18
,Milpitas Unified,Santa Clara,892,117,26,26,27,25,101,86.32,2017-18
Milpitas High,Milpitas Unified,Santa Clara,814,117,26,26,27,25,101,86.32,2017-18
       ,     ,Santa Cruz,3096,600,22,23,22,22,346,57.67,2017-18
,Santa Cruz County Office of Education,Santa Cruz,487,41,31,30,29,29,40,97.56,2017-18
Santa Cruz County Career Advancement Charter,Santa Cruz County Office of Education,Santa Cruz,48,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Pacific Collegiate Charter,Santa Cruz County Office of Education,Santa Cruz,78,41,31,30,29,29,40,97.56,2017-18
,Live Oak Elementary,Santa Cruz,34,4,*,*,*,*,*,*,2017-18
Cypress Charter High,Live Oak Elementary,Santa Cruz,34,4,*,*,*,*,*,*,2017-18
,Pajaro Valley Unified,Santa Cruz,1274,306,19,20,20,20,114,37.25,2017-18
Pajaro Valley High,Pajaro Valley Unified,Santa Cruz,296,93,16,18,17,18,17,18.28,2017-18
Ceiba College Preparatory Academy,Pajaro Valley Unified,Santa Cruz,65,7,*,*,*,*,*,*,2017-18
Pacific Coast Charter,Pajaro Valley Unified,Santa Cruz,35,2,*,*,*,*,*,*,2017-18
Aptos High,Pajaro Valley Unified,Santa Cruz,328,83,26,26,24,24,65,78.31,2017-18
Watsonville High,Pajaro Valley Unified,Santa Cruz,435,121,17,18,18,19,29,23.97,2017-18
,San Lorenzo Valley Unified,Santa Cruz,282,35,26,28,24,25,30,85.71,2017-18
Ocean Grove Charter,San Lorenzo Valley Unified,Santa Cruz,96,4,*,*,*,*,*,*,2017-18
SLVUSD Charter,San Lorenzo Valley Unified,Santa Cruz,15,3,*,*,*,*,*,*,2017-18
San Lorenzo Valley High,San Lorenzo Valley Unified,Santa Cruz,171,28,27,29,25,26,27,96.43,2017-18
,Santa Cruz City High,Santa Cruz,848,160,23,24,23,23,117,73.13,2017-18
Ark Independent Studies,Santa Cruz City High,Santa Cruz,30,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Delta Charter,Santa Cruz City High,Santa Cruz,63,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Harbor High,Santa Cruz City High,Santa Cruz,230,64,21,22,22,22,37,57.81,2017-18
Santa Cruz High,Santa Cruz City High,Santa Cruz,243,41,25,27,26,25,36,87.80,2017-18
Soquel High,Santa Cruz City High,Santa Cruz,218,55,24,25,23,23,44,80.00,2017-18
,Scotts Valley Unified,Santa Cruz,171,54,26,27,25,25,43,79.63,2017-18
Scotts Valley High,Scotts Valley Unified,Santa Cruz,170,54,26,27,25,25,43,79.63,2017-18
       ,     ,Shasta,2012,206,24,25,24,24,149,72.33,2017-18
Shasta County Independent Study Charter,Shasta County Office of Education,Shasta,43,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
,Anderson Union High,Shasta,436,32,22,23,21,21,20,62.50,2017-18
West Valley High,Anderson Union High,Shasta,194,23,22,23,21,22,15,65.22,2017-18
Oakview High (Alternative),Anderson Union High,Shasta,37,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Anderson New Technology High,Anderson Union High,Shasta,38,1,*,*,*,*,*,*,2017-18
Anderson High,Anderson Union High,Shasta,135,8,*,*,*,*,*,*,2017-18
,Fall River Joint Unified,Shasta,77,25,20,21,23,21,13,52.00,2017-18
Burney Junior-Senior High,Fall River Joint Unified,Shasta,35,8,*,*,*,*,*,*,2017-18
Fall River Junior-Senior High,Fall River Joint Unified,Shasta,30,17,20,22,23,21,9,52.94,2017-18
,Redding Elementary,Shasta,14,1,*,*,*,*,*,*,2017-18
,Shasta Union High,Shasta,1158,133,25,26,25,25,106,79.70,2017-18
University Preparatory,Shasta Union High,Shasta,106,30,26,27,25,26,25,83.33,2017-18
Foothill High,Shasta Union High,Shasta,286,38,23,24,22,23,23,60.53,2017-18
Shasta Charter Academy,Shasta Union High,Shasta,77,4,*,*,*,*,*,*,2017-18
North State Independence High,Shasta Union High,Shasta,50,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Enterprise High,Shasta Union High,Shasta,255,8,*,*,*,*,*,*,2017-18
Shasta High,Shasta Union High,Shasta,293,53,28,28,28,27,50,94.34,2017-18
Northern Summit Academy,Whitmore Union Elementary,Shasta,23,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
New Day Academy - Shasta,Whitmore Union Elementary,Shasta,28,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Phoenix Charter Academy,Whitmore Union Elementary,Shasta,46,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
,Gateway Unified,Shasta,182,15,22,23,20,22,9,60.00,2017-18
Gateway Educational Options,Gateway Unified,Shasta,20,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Central Valley High,Gateway Unified,Shasta,125,15,22,23,20,22,9,60.00,2017-18
       ,     ,Sierra,28,3,*,*,*,*,*,*,2017-18
,Sierra-Plumas Joint Unified,Sierra,28,3,*,*,*,*,*,*,2017-18
Downieville Junior-Senior High,Sierra-Plumas Joint Unified,Sierra,4,1,*,*,*,*,*,*,2017-18
Loyalton High,Sierra-Plumas Joint Unified,Sierra,21,2,*,*,*,*,*,*,2017-18
       ,     ,Siskiyou,412,100,21,22,21,21,48,48.00,2017-18
,Siskiyou County Office of Education,Siskiyou,51,1,*,*,*,*,*,*,2017-18
Golden Eagle Charter,Siskiyou County Office of Education,Siskiyou,41,1,*,*,*,*,*,*,2017-18
,Dunsmuir Joint Union High,Siskiyou,16,2,*,*,*,*,*,*,2017-18
Dunsmuir High,Dunsmuir Joint Union High,Siskiyou,16,2,*,*,*,*,*,*,2017-18
,Siskiyou Union High,Siskiyou,134,29,21,22,21,21,13,44.83,2017-18
Happy Camp High,Siskiyou Union High,Siskiyou,15,6,*,*,*,*,*,*,2017-18
Mt. Shasta High,Siskiyou Union High,Siskiyou,75,13,*,*,*,*,*,*,2017-18
Weed High,Siskiyou Union High,Siskiyou,33,10,*,*,*,*,*,*,2017-18
,Yreka Union High,Siskiyou,135,34,20,22,20,21,15,44.12,2017-18
Yreka High,Yreka Union High,Siskiyou,117,34,20,22,20,21,15,44.12,2017-18
