sname,dname,cname,enroll12,NumTstTakr,AvgScrEng,AvgScrRead,AvgScrMath,AvgScrSci,NumGE21,PctGE21,year
,Coalinga-Huron Unified,Fresno,299,9,*,*,*,*,*,*,2017-18
Coalinga High,Coalinga-Huron Unified,Fresno,244,9,*,*,*,*,*,*,2017-18
,Fowler Unified,Fresno,191,14,*,*,*,*,*,*,2017-18
Fowler High,Fowler Unified,Fresno,182,14,*,*,*,*,*,*,2017-18
,Fresno Unified,Fresno,4647,783,19,20,19,19,262,33.46,2017-18
Design Science Middle College High,Fresno Unified,Fresno,58,57,20,20,21,20,23,40.35,2017-18
Sierra Charter,Fresno Unified,Fresno,86,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
University High,Fresno Unified,Fresno,112,78,27,28,25,25,69,88.46,2017-18
Phillip J Patino School of Entrepreneurship,Fresno Unified,Fresno,77,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Bullard High,Fresno Unified,Fresno,597,47,22,23,22,22,29,61.70,2017-18
J. E. Young Academic Center,Fresno Unified,Fresno,102,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Erma Duncan Polytechnical High,Fresno Unified,Fresno,210,3,*,*,*,*,*,*,2017-18
School of Unlimited Learning,Fresno Unified,Fresno,69,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Sunnyside High,Fresno Unified,Fresno,588,128,17,18,18,18,23,17.97,2017-18
Carter G. Woodson Public Charter,Fresno Unified,Fresno,120,1,*,*,*,*,*,*,2017-18
Edison High,Fresno Unified,Fresno,554,116,21,22,21,21,65,56.03,2017-18
Fresno High,Fresno Unified,Fresno,478,228,16,17,17,17,37,16.23,2017-18
Herbert Hoover High,Fresno Unified,Fresno,390,38,16,17,18,18,8,21.05,2017-18
McLane High,Fresno Unified,Fresno,338,61,14,16,16,16,4,6.56,2017-18
Roosevelt High,Fresno Unified,Fresno,470,26,15,16,17,16,3,11.54,2017-18
,Kingsburg Joint Union High,Fresno,315,74,20,21,21,21,40,54.05,2017-18
Kingsburg Independent Study High,Kingsburg Joint Union High,Fresno,22,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Kingsburg High,Kingsburg Joint Union High,Fresno,280,74,20,21,21,21,40,54.05,2017-18
,Kings Canyon Joint Unified,Fresno,679,157,17,19,18,19,45,28.66,2017-18
Orange Cove High,Kings Canyon Joint Unified,Fresno,155,44,17,17,17,18,6,13.64,2017-18
Dunlap Leadership Academy,Kings Canyon Joint Unified,Fresno,23,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Reedley Middle College High,Kings Canyon Joint Unified,Fresno,32,20,16,19,18,18,6,30.00,2017-18
Mountain View (Alternative),Kings Canyon Joint Unified,Fresno,43,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Reedley High,Kings Canyon Joint Unified,Fresno,375,93,18,20,19,19,33,35.48,2017-18
,Laton Joint Unified,Fresno,39,12,*,*,*,*,*,*,2017-18
Laton High,Laton Joint Unified,Fresno,39,12,*,*,*,*,*,*,2017-18
California Virtual Academy at Fresno,Orange Center,Fresno,40,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
,Parlier Unified,Fresno,212,18,15,17,17,17,2,11.11,2017-18
Parlier High,Parlier Unified,Fresno,191,18,15,17,17,17,2,11.11,2017-18
,Sanger Unified,Fresno,808,38,21,22,21,22,22,57.89,2017-18
Taft High,Sanger Unified,Fresno,27,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Hallmark Charter,Sanger Unified,Fresno,34,3,*,*,*,*,*,*,2017-18
Sanger High,Sanger Unified,Fresno,695,35,21,22,21,22,20,57.14,2017-18
,Selma Unified,Fresno,477,24,19,20,21,20,11,45.83,2017-18
Selma Independent,Selma Unified,Fresno,49,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Selma High,Selma Unified,Fresno,386,24,19,20,21,20,11,45.83,2017-18
West Park Charter Academy,West Park Elementary,Fresno,70,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Crescent View South Charter,Westside Elementary,Fresno,16,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
